subject_id,start_ord,end_ord,time_group,task_group,background,lighting,accessories,pose,expression,distance,is_usable,notes
person_a,1,20,before_1729,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面看镜头近距离
person_a,21,40,before_1729,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面看镜头远距离
person_a,41,70,before_1729,B-angle,wall,unknown,none,angle,mixed,near,1,白墙人脸由正面逐渐转向上下左右
person_a,71,82,before_1729,F-expression,wall,unknown,none,frontal,smile,near,1,白墙正面微笑
person_a,83,112,before_1729,F-expression,wall,unknown,none,frontal,talking,near,1,白墙正面说话
person_a,113,127,before_1729,D-accessories,wall,unknown,glasses,frontal,talking,near,1,白墙戴近视眼镜正面说话
person_a,128,137,before_1729,C-lighting,wall,backlit_tilted,none,frontal,neutral,near,1,逆光且光照角度倾斜
person_a,138,157,before_1729,C-lighting,wall,backlit,none,frontal,neutral,near,1,逆光正面
person_a,158,173,before_1729,E-background,desk,unknown,none,frontal,neutral,far,1,办公桌背景正面
person_a,174,188,before_1729,D-accessories,desk,unknown,sunglasses,frontal,neutral,far,1,办公桌背景戴墨镜正面
person_a,189,208,before_1729,E-background,outdoor,unknown,none,natural,mixed,near,1,外景头部稍微动作自然表现
person_a,209,258,after_1729,H-holdout,mixed,unknown,mixed,mixed,mixed,unknown,1,17:29以后拍摄暂不细分

person_b,1,11,before_1729,C-lighting,wall,backlit_tilted,none,frontal,neutral,near,1,逆光但光照角度倾斜正面
person_b,12,31,before_1729,C-lighting,wall,backlit,none,frontal,neutral,near,1,逆光正面
person_b,32,46,before_1729,E-background,desk,unknown,none,frontal,neutral,near,1,办公桌背景正面
person_b,47,57,before_1729,D-accessories,desk,unknown,sunglasses,frontal,neutral,near,1,办公桌背景戴墨镜正面
person_b,58,62,before_1729,D-accessories,wall,backlit,sunglasses,frontal,neutral,near,1,逆光戴墨镜正面
person_b,63,82,before_1729,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面近距离
person_b,83,102,before_1729,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面远距离
person_b,103,143,before_1729,B-angle,wall,unknown,none,angle,mixed,near,1,白墙人脸由正面逐渐转向上下左右
person_b,144,173,before_1729,F-expression,wall,unknown,none,frontal,talking,near,1,白墙正面说话
person_b,174,188,before_1729,F-expression,wall,unknown,none,frontal,smile,far,1,白墙正面微笑远距离
person_b,189,208,before_1729,E-background,outdoor,unknown,none,natural,mixed,near,1,外景头部稍微动作自然表现
person_b,209,258,after_1729,H-holdout,mixed,unknown,mixed,mixed,mixed,unknown,1,17:29以后拍摄暂不细分

person_c,1,10,before_1729,C-lighting,wall,backlit_tilted,none,frontal,neutral,near,1,逆光但光照角度倾斜正面
person_c,11,30,before_1729,C-lighting,wall,backlit,none,frontal,neutral,near,1,逆光正面
person_c,31,45,before_1729,E-background,desk,unknown,none,frontal,neutral,near,1,办公桌背景正面
person_c,46,61,before_1729,D-accessories,desk,unknown,sunglasses,frontal,neutral,near,1,办公桌背景戴墨镜正面
person_c,62,81,before_1729,A-frontal,wall,unknown,none,frontal,neutral,near,1,白墙正面近距离
person_c,82,111,before_1729,F-expression,wall,unknown,none,frontal,talking,near,1,白墙正面说话
person_c,112,131,before_1729,A-frontal,wall,unknown,none,frontal,neutral,far,1,白墙正面远距离
person_c,132,171,before_1729,B-angle,wall,unknown,none,angle,mixed,near,1,白墙人脸由正面逐渐转向上下左右
person_c,172,176,before_1729,D-accessories,wall,unknown,sunglasses,frontal,neutral,near,1,白墙正面戴墨镜
person_c,177,186,before_1729,D-accessories,wall,unknown,sunglasses,frontal,smile,near,1,白墙正面戴墨镜微笑
person_c,187,206,before_1729,E-background,outdoor,unknown,none,natural,mixed,near,1,外景头部稍微动作自然表现
person_c,207,259,after_1729,H-holdout,mixed,unknown,mixed,mixed,mixed,unknown,1,17:29以后拍摄暂不细分

